name;TP;TN;FN;FP;acc;sens;spec
01_h;731867;6144434;102021;1207022;0.8400747726668543;0.8776562320119728;0.8358118446196237
02_h;747797;5876554;60641;1500352;0.8092941481750797;0.9249899188311287;0.796615003634315
03_h;740325;6527305;123846;793868;0.8878832703915681;0.8566880860385271;0.8915654636217447
04_h;694521;6547931;77080;865812;0.8848072848251705;0.9001038101298469;0.8832152665664293
05_h;640341;6883666;98445;562892;0.9192047395931069;0.8667476102687381;0.9244091028365051
06_h;745467;6592060;84403;763414;0.8964225571949084;0.8982937086531625;0.8962114474199759
07_h;648817;6858570;80196;597761;0.9171742812519547;0.8899937312503343;0.9198317510314389
08_h;727834;6685437;93793;678280;0.9056761695049103;0.8858447933186226;0.9078889099078631
09_h;545612;6861532;90856;687344;0.9049276365171702;0.8572496967640164;0.908947504237717
10_h;602486;6661648;102952;818258;0.8874561655563896;0.8540594637657739;0.8906058445119498
11_h;696142;6701255;69213;718734;0.9037368496669169;0.9095674556251674;0.9031354359150667
12_h;789851;6561115;69444;764934;0.8980643941170952;0.9191849132137392;0.8955871029527649
13_h;653607;6519142;58921;953674;0.8762916989194346;0.9173071093346508;0.8723809070101552
14_h;639409;6639935;74645;831355;0.889314364796397;0.8954630882258204;0.8887267125222017
15_h;579618;6870910;61627;673189;0.910227841371114;0.9038947672106605;0.9107661498079492
