name;TP;TN;FN;FP;acc;sens;spec
01_g;378323;6989735;169309;647977;0.9001525164977795;0.6908343559178426;0.9151608492176715
02_g;421681;6888803;188041;686819;0.8931187253706137;0.691595514021144;0.9093382695176713
03_g;208270;7375379;264465;337230;0.9264911774019516;0.44056395232001017;0.9562754963981709
04_g;294365;7245893;232551;412535;0.9211901173609808;0.5586564082320522;0.9461332012261524
05_g;335767;7106260;199284;544033;0.9091892778116595;0.627542047393613;0.9288872988263326
11_g;456883;6700734;168810;858917;0.8744430289062989;0.7302031507464524;0.88638139511996
12_g;490723;6728943;185701;779977;0.8820235288828423;0.7254665712629949;0.8961266067556986
13_g;422544;6688707;134437;939656;0.8687785143788703;0.7586327002177812;0.8768207543348422
14_g;436680;6409855;141489;1197320;0.8364382730890724;0.755280895378341;0.8426064866392583
15_g;385843;6983799;213345;602357;0.9003460331050228;0.6439431363778981;0.9205978627383882

