name;TP;TN;FN;FP;acc;sens;spec
01_h;710997;6548611;122891;802845;0.8869032260586727;0.8526288902106758;0.8907910215336935
02_h;733199;6327603;75239;1049303;0.8626151814755739;0.906932875495709;0.8577583881372489
03_h;713785;6851691;150386;469482;0.9242709897103897;0.8259765717664675;0.9358733907804119
04_h;678311;6886680;93290;527063;0.924211737466379;0.879095542903651;0.9289073009409687
05_h;623144;7123842;115642;322716;0.946445989319447;0.8434702335994456;0.9566623935514905
06_h;732234;6910837;97636;444637;0.9337507379042347;0.8823478376131201;0.9395501907830821
07_h;633368;7122112;95645;334219;0.9474836976918747;0.8688020652580956;0.9551764802286808
08_h;711046;6985131;110581;378586;0.9402386753690498;0.8654121639137954;0.948587649416728
09_h;531654;7150698;104814;398178;0.938549680990805;0.8353192933501763;0.9472533394375533
10_h;587505;6969661;117933;510245;0.9232557605398136;0.8328230120861082;0.9317845705547636
11_h;682332;6999949;83023;420040;0.9385410069509602;0.8915235413631583;0.9433907516574486
12_h;774768;6881030;84527;445019;0.9353055900888222;0.9016321519385078;0.9392552520464987
13_h;640647;6862516;71881;610300;0.9166582369659724;0.8991183504367548;0.9183306533975947
14_h;625833;6947711;88221;523579;0.925256653843748;0.8764505205488661;0.9299212050395581
15_h;566289;7139769;74956;404330;0.9414458329423907;0.8831086402233156;0.9464044679159168
