name;TP;TN;FN;FP;acc;sens;spec
01_h;679608;6452164;154280;899292;0.8712855562331895;0.8149871445565832;0.8776715796163372
02_h;698107;6309713;110331;1067193;0.8561423930380935;0.8635257125469115;0.8553332521791657
03_h;705201;6188274;158970;1132899;0.8421729129527116;0.8160433525309227;0.8452571739528625
04_h;662434;6410977;109167;1002766;0.8641556176502784;0.8585188458801893;0.8647422766071066
05_h;522766;6884524;216020;562034;0.9049454732751611;0.7076013893062403;0.9245243238553974
11_h;676316;6262505;89039;1157484;0.8477128145133546;0.8836631367143352;0.844004620492025
12_h;752808;6323157;106487;1002892;0.8644676387455432;0.8760763183772744;0.8631060207214011
13_h;613724;6198740;98804;1274076;0.8322758334897103;0.861333168661442;0.8295052360448859
14_h;592646;6213536;121408;1257754;0.8315083642178019;0.8299736434499352;0.8316550421680861
15_h;510161;6748260;131084;795839;0.8867582107728154;0.795578912896007;0.8945084098180578

