Lp;R;G;B;War;Dec
0;137.2;137.2;137.2;3.579999999999999;0
1;55.73;55.73;55.73;3.117099999999999;1
2;106.95;106.95;106.95;13.627500000000055;0
3;3.0;3.0;3.0;0.0;0
4;86.94;86.94;86.94;98.73639999999999;1
5;120.6;120.6;120.6;6.7400000000000135;0
6;87.48;87.48;87.48;9.769599999999997;1
7;71.49;71.49;71.49;26.689899999999973;1
8;111.5;111.5;111.5;35.57;0
9;131.87;131.87;131.87;59.8331;1
10;121.88;121.88;121.88;10.585600000000014;1
11;95.57;95.57;95.57;25.105100000000004;1
12;105.15;105.15;105.15;13.227499999999994;0
13;113.0;113.0;113.0;171.32;1
14;147.89;147.89;147.89;16.81789999999995;0
15;118.28;118.28;118.28;3.68159999999999;0
16;130.92;130.92;130.92;18.933600000000016;0
17;85.69;85.69;85.69;160.79390000000004;1
18;123.82;123.82;123.82;2.7875999999999945;0
19;152.25;152.25;152.25;8.4675;0
20;154.25;154.25;154.25;2.6475;0
21;150.84;150.84;150.84;16.034400000000016;0
22;113.35;113.35;113.35;5.927500000000003;0
23;98.26;98.26;98.26;1.2323999999999982;0
24;114.0;114.0;114.0;68.0;1
25;151.18;151.18;151.18;13.947600000000026;0
26;55.66;55.66;55.66;3.5844000000000045;0
27;101.5;101.5;101.5;6.51;0
28;143.06;143.06;143.06;5.436400000000005;0
29;117.28;117.28;117.28;16.841600000000003;0
30;114.74;114.74;114.74;19.752400000000012;0
31;4.0;4.0;4.0;0.0;0
32;136.53;136.53;136.53;11.909099999999993;0
33;116.56;116.56;116.56;7.006399999999982;0
34;79.6;79.6;79.6;15.119999999999985;0
35;118.1;118.1;118.1;168.24999999999986;1
36;98.69;98.69;98.69;5.4738999999999916;0
37;95.41;95.41;95.41;275.74189999999993;1
38;97.53;97.53;97.53;57.46910000000007;0
39;85.0;85.0;85.0;12.62;0
40;142.18;142.18;142.18;2.2675999999999967;0
41;86.0;86.0;86.0;170.38;1
42;105.17;105.17;105.17;135.26110000000006;1
43;121.36;121.36;121.36;10.150399999999992;1
44;140.59;140.59;140.59;165.52189999999996;1
45;100.26;100.26;100.26;819.4124;0
46;98.85;98.85;98.85;17.807499999999997;0
47;123.07;123.07;123.07;10.765100000000015;0
48;4.0;4.0;4.0;0.0;0
49;12.32;12.32;12.32;135.4376;0
50;103.34;103.34;103.34;98.24439999999998;1
51;126.67;126.67;126.67;65.14109999999998;0
52;109.23;109.23;109.23;7.9371000000000205;0
53;84.73;84.73;84.73;131.63710000000003;1
54;83.82;83.82;83.82;10.367600000000026;1
55;123.02;123.02;123.02;114.27959999999999;1
56;110.25;110.25;110.25;122.7675;1
57;141.34;141.34;141.34;21.5044;0
58;133.7;133.7;133.7;25.369999999999973;0
59;127.58;127.58;127.58;79.94359999999992;0
60;124.11;124.11;124.11;113.45789999999998;0
61;74.88;74.88;74.88;247.94559999999987;1
62;3.0;3.0;3.0;0.0;0
63;85.21;85.21;85.21;364.8059000000001;1
64;3.6;3.6;3.6;0.2399999999999998;0
65;121.54;121.54;121.54;10.668399999999998;0
66;109.45;109.45;109.45;6.067499999999997;0
67;67.7;67.7;67.7;7.10999999999999;1
68;92.41;92.41;92.41;110.88189999999997;1
69;93.42;93.42;93.42;31.623600000000017;1
70;145.75;145.75;145.75;20.3675;0
71;123.44;123.44;123.44;30.8464;0
72;79.9;79.9;79.9;48.430000000000014;1
73;104.48;104.48;104.48;15.489600000000019;0
74;143.48;143.48;143.48;14.589600000000003;0
75;85.56;85.56;85.56;9.266399999999981;0
76;179.39;179.39;179.39;10.757900000000024;0
77;121.61;121.61;121.61;20.077900000000003;0
78;116.5;116.5;116.5;51.09;1
79;129.06;129.06;129.06;14.876399999999983;0
80;128.12;128.12;128.12;572.3056;1
81;96.08;96.08;96.08;73.23359999999995;1
82;83.02;83.02;83.02;39.87959999999998;1
83;126.79;126.79;126.79;4.785900000000009;0
84;4.0;4.0;4.0;0.0;0
85;108.72;108.72;108.72;183.38160000000013;0
86;84.99;84.99;84.99;15.569899999999995;1
87;58.22;58.22;58.22;2.651599999999996;1
88;118.51;118.51;118.51;3.6498999999999984;0
89;118.56;118.56;118.56;5.6064;0
90;77.34;77.34;77.34;65.7244;1
91;108.4;108.4;108.4;175.2199999999999;0
92;73.25;73.25;73.25;73.0075;1
93;124.69;124.69;124.69;8.813899999999984;0
94;66.96;66.96;66.96;1.9583999999999977;0
95;97.6;97.6;97.6;39.59999999999997;1
96;72.84;72.84;72.84;24.554400000000015;1
97;134.29;134.29;134.29;12.245899999999999;0
98;79.25;79.25;79.25;304.1475;1
99;120.38;120.38;120.38;15.515599999999953;0
100;129.96;129.96;129.96;5.398399999999999;0
101;91.48;91.48;91.48;85.64960000000002;1
102;81.61;81.61;81.61;8.217899999999997;0
103;124.08;124.08;124.08;42.953600000000066;0
104;171.14;171.14;171.14;1.3604000000000005;0
105;112.73;112.73;112.73;19.71710000000002;1
106;153.09;153.09;153.09;7.141900000000001;0
107;72.96;72.96;72.96;233.35839999999988;1
108;138.54;138.54;138.54;21.608400000000003;1
109;84.75;84.75;84.75;5.3875;0
110;106.04;106.04;106.04;690.0383999999999;1
111;3.0;3.0;3.0;0.0;0
112;138.38;138.38;138.38;6.175600000000012;0
113;111.0;111.0;111.0;9.3;0
