Lp;R;G;B;War;Dec
0;92.48;92.48;92.48;55.729600000000055;0
1;3.36;3.36;3.36;0.9503999999999995;0
2;99.88;99.88;99.88;5.965600000000018;0
3;155.27;155.27;155.27;13.397100000000021;0
4;3.0;3.0;3.0;0.0;0
5;92.99;92.99;92.99;10.789899999999983;1
6;89.73;89.73;89.73;9.417099999999987;0
7;109.89;109.89;109.89;11.097900000000008;0
8;79.99;79.99;79.99;2.1899000000000033;1
9;92.84;92.84;92.84;2.0543999999999984;0
10;3.0;3.0;3.0;0.0;0
11;108.45;108.45;108.45;19.60750000000002;0
12;110.04;110.04;110.04;26.29840000000001;1
13;126.91;126.91;126.91;5.441900000000007;0
14;95.8;95.8;95.8;6.959999999999998;0
15;92.67;92.67;92.67;81.10109999999999;1
16;119.82;119.82;119.82;11.267600000000023;0
17;3.0;3.0;3.0;0.0;0
18;99.62;99.62;99.62;367.31559999999996;1
19;146.8;146.8;146.8;6.000000000000009;0
20;3.0;3.0;3.0;0.0;0
21;120.19;120.19;120.19;4.9138999999999955;0
22;4.0;4.0;4.0;0.0;0
23;159.69;159.69;159.69;15.8739;0
24;81.9;81.9;81.9;4.569999999999997;0
25;107.22;107.22;107.22;1.2316000000000011;0
26;101.55;101.55;101.55;13.147500000000013;0
27;165.13;165.13;165.13;9.593099999999982;0
28;3.0;3.0;3.0;0.0;0
29;80.26;80.26;80.26;22.472400000000015;1
30;111.24;111.24;111.24;2.822400000000006;0
31;4.0;4.0;4.0;0.0;0
32;157.64;157.64;157.64;159.15040000000022;0
33;68.84;68.84;68.84;129.81439999999995;1
34;4.0;4.0;4.0;0.0;0
35;73.8;73.8;73.8;347.5200000000004;1
36;93.48;93.48;93.48;12.049600000000007;1
37;4.0;4.0;4.0;0.0;0
38;98.05;98.05;98.05;14.027500000000042;0
39;101.42;101.42;101.42;14.963600000000012;1
40;64.37;64.37;64.37;59.13309999999998;1
41;4.0;4.0;4.0;0.0;0
42;124.32;124.32;124.32;10.857600000000001;0
43;161.39;161.39;161.39;1.3179000000000003;0
44;129.19;129.19;129.19;6.113899999999988;0
45;86.01;86.01;86.01;6.689900000000002;0
46;140.2;140.2;140.2;2.579999999999998;0
47;75.46;75.46;75.46;45.94840000000003;1
48;85.14;85.14;85.14;80.26039999999998;1
49;76.57;76.57;76.57;23.765099999999997;1
50;76.19;76.19;76.19;15.4539;1
51;117.74;117.74;117.74;40.1124;0
52;100.97;100.97;100.97;29.44909999999997;0
53;3.0;3.0;3.0;0.0;0
54;78.31;78.31;78.31;62.71390000000008;1
55;61.98;61.98;61.98;8.539600000000004;1
56;88.31;88.31;88.31;33.2739;0
57;167.03;167.03;167.03;20.68909999999996;0
58;105.58;105.58;105.58;43.60360000000002;1
59;106.85;106.85;106.85;14.847499999999997;1
60;97.37;97.37;97.37;199.09310000000008;1
61;153.98;153.98;153.98;7.579600000000002;0
62;77.08;77.08;77.08;32.21360000000001;1
63;4.0;4.0;4.0;0.0;0
64;107.97;107.97;107.97;17.14909999999999;0
65;110.73;110.73;110.73;6.2170999999999985;0
66;131.91;131.91;131.91;12.06189999999999;0
67;104.73;104.73;104.73;246.85709999999963;1
68;58.24;58.24;58.24;9.862400000000004;1
69;101.72;101.72;101.72;6.961599999999993;0
70;113.61;113.61;113.61;12.597900000000003;0
71;76.83;76.83;76.83;2.661099999999999;0
72;116.82;116.82;116.82;11.627600000000012;0
73;59.08;59.08;59.08;9.213600000000008;1
74;109.43;109.43;109.43;10.945099999999972;1
75;81.77;81.77;81.77;8.697100000000006;0
76;4.0;4.0;4.0;0.0;0
77;145.31;145.31;145.31;7.493899999999991;0
78;112.95;112.95;112.95;19.707500000000003;0
79;116.03;116.03;116.03;7.889099999999998;0
80;58.19;58.19;58.19;5.133899999999986;0
81;72.16;72.16;72.16;7.074400000000003;0
82;121.93;121.93;121.93;4.985100000000006;0
83;85.1;85.1;85.1;129.70999999999995;1
84;95.23;95.23;95.23;5.957099999999994;0
85;3.0;3.0;3.0;0.0;0
86;3.0;3.0;3.0;0.0;0
87;117.75;117.75;117.75;6.8275;0
88;107.81;107.81;107.81;7.553900000000003;0
89;154.14;154.14;154.14;2.3204000000000007;0
90;130.49;130.49;130.49;7.749899999999984;0
91;117.19;117.19;117.19;12.2939;0
92;87.65;87.65;87.65;31.88749999999997;1
93;126.24;126.24;126.24;4.78239999999999;0
94;110.11;110.11;110.11;4.5179;0
95;111.23;111.23;111.23;321.17709999999994;1
96;146.29;146.29;146.29;10.965899999999996;0
97;85.48;85.48;85.48;10.7296;0
98;94.28;94.28;94.28;40.281600000000026;1
99;96.36;96.36;96.36;9.670399999999992;0
100;106.69;106.69;106.69;10.873899999999988;0
101;127.22;127.22;127.22;3.3716;0
102;4.0;4.0;4.0;0.0;0
103;116.04;116.04;116.04;2.4383999999999975;0
104;101.15;101.15;101.15;88.86749999999995;1
105;87.07;87.07;87.07;6.405100000000012;1
106;149.62;149.62;149.62;13.175599999999982;0
107;61.73;61.73;61.73;24.277099999999987;1
108;68.28;68.28;68.28;2.361599999999991;0
109;111.82;111.82;111.82;36.707600000000035;1
110;57.17;57.17;57.17;33.54110000000001;1
111;88.72;88.72;88.72;85.5816;1
112;99.4;99.4;99.4;11.000000000000018;0
113;74.25;74.25;74.25;3.3875;1
114;116.38;116.38;116.38;15.755599999999989;0
115;120.92;120.92;120.92;21.553600000000014;0
116;83.02;83.02;83.02;10.89959999999999;1
117;126.42;126.42;126.42;4.1236;0
118;90.94;90.94;90.94;3.7764000000000046;0
119;103.93;103.93;103.93;4.585100000000001;0
120;53.38;53.38;53.38;5.1755999999999975;0
121;91.41;91.41;91.41;17.901899999999998;1
122;103.6;103.6;103.6;2.0799999999999996;0
123;81.66;81.66;81.66;4.284400000000001;0
124;4.0;4.0;4.0;0.0;0
125;124.77;124.77;124.77;2.0371000000000006;0
126;124.76;124.76;124.76;8.902400000000013;0
127;3.0;3.0;3.0;0.0;0
128;130.17;130.17;130.17;4.521100000000003;0
129;4.0;4.0;4.0;0.0;0
130;151.05;151.05;151.05;10.327500000000013;0
131;140.29;140.29;140.29;10.2459;0
132;158.9;158.9;158.9;12.589999999999995;0
133;81.25;81.25;81.25;128.5475;1
134;78.83;78.83;78.83;50.06110000000002;1
135;62.63;62.63;62.63;29.6731;1
